Date : 2025-05-13 12:50:17
Directory : /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage
Total : 193 files,  19434 codes, 1337 comments, 2361 blanks, all 23132 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |        129 |     16,487 |      1,076 |      1,870 |     19,433 |
| Markdown        |          5 |        744 |          0 |        137 |        881 |
| C++             |         16 |        540 |        131 |        189 |        860 |
| XML             |         12 |        479 |         53 |         13 |        545 |
| CMake           |          8 |        461 |          0 |         92 |        553 |
| YAML            |         10 |        387 |         55 |         30 |        472 |
| JSON            |          4 |        248 |          0 |          2 |        250 |
| Swift           |          6 |         61 |          7 |         21 |         89 |
| HTML            |          1 |         19 |         15 |          5 |         39 |
| Java Properties |          2 |          8 |          0 |          2 |         10 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                 |        193 |     19,434 |      1,337 |      2,361 |     23,132 |
| . (Files)                                                                                                                                         |          9 |      1,060 |         53 |        158 |      1,271 |
| .continue                                                                                                                                         |          5 |         68 |          2 |          7 |         77 |
| .continue (Files)                                                                                                                                 |          1 |         29 |          2 |          3 |         34 |
| .continue/models                                                                                                                                  |          3 |         34 |          0 |          3 |         37 |
| .continue/rules                                                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| android                                                                                                                                           |         11 |         83 |         51 |         12 |        146 |
| android (Files)                                                                                                                                   |          1 |          3 |          0 |          1 |          4 |
| android/app                                                                                                                                       |          9 |         75 |         51 |         10 |        136 |
| android/app/src                                                                                                                                   |          9 |         75 |         51 |         10 |        136 |
| android/app/src/debug                                                                                                                             |          1 |          3 |          4 |          1 |          8 |
| android/app/src/main                                                                                                                              |          7 |         69 |         43 |          8 |        120 |
| android/app/src/main (Files)                                                                                                                      |          1 |         34 |         11 |          1 |         46 |
| android/app/src/main/res                                                                                                                          |          6 |         35 |         32 |          7 |         74 |
| android/app/src/main/res/drawable                                                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                             |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/mipmap-anydpi-v26                                                                                                        |          1 |          5 |          0 |          1 |          6 |
| android/app/src/main/res/values                                                                                                                   |          2 |         13 |          9 |          1 |         23 |
| android/app/src/main/res/values-night                                                                                                             |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                                           |          1 |          3 |          4 |          1 |          8 |
| android/gradle                                                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| android/gradle/wrapper                                                                                                                            |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                                                               |          8 |        229 |          4 |         13 |        246 |
| ios/Runner                                                                                                                                        |          7 |        222 |          2 |          9 |        233 |
